,method,graph_type,planted_k,planted_gamma,bipartite,trial,num_true_positive,num_detected,num_total,time,method_params,detected_density,actual_density
1,fraudar,B,27,1.0,True,1,27,27,596,0.0007101019223531087,,1.0,1.0
2,fraudar,B,27,1.0,True,2,27,27,596,0.0006088693936665853,,1.0,1.0
3,fraudar,B,27,1.0,True,3,27,27,596,0.0006239493687947591,,1.0,1.0
4,fraudar,B,27,1.0,True,4,27,27,596,0.0006199280420939127,,1.0,1.0
5,fraudar,B,27,1.0,True,5,27,28,596,0.0006333311398824056,,0.9719051799824407,1.0
6,fraudar,B,27,1.0,True,6,27,27,596,0.0006166815757751465,,1.0,1.0
7,fraudar,B,27,1.0,True,7,27,27,596,0.0006432175636291504,,1.0,1.0
8,fraudar,B,27,1.0,True,8,27,27,596,0.0006087978680928548,,1.0,1.0
9,fraudar,B,27,1.0,True,9,27,27,596,0.000633398691813151,,1.0,1.0
0,fraudar,B,28,1.0,True,0,28,28,596,0.001119816303253174,,1.0,1.0
1,fraudar,B,28,1.0,True,1,28,28,596,0.0007162650426228841,,1.0,1.0
2,fraudar,B,28,1.0,True,2,28,28,596,0.0006286819775899251,,1.0,1.0
3,fraudar,B,28,1.0,True,3,28,28,596,0.0006370782852172851,,1.0,1.0
4,fraudar,B,28,1.0,True,4,28,28,596,0.0006254792213439941,,1.0,1.0
5,fraudar,B,28,1.0,True,5,28,28,596,0.0006118535995483399,,1.0,1.0
6,fraudar,B,28,1.0,True,6,28,28,596,0.0007364988327026367,,1.0,1.0
7,fraudar,B,28,1.0,True,7,28,29,596,0.0006309668223063151,,0.9751609935602575,1.0
8,fraudar,B,28,1.0,True,8,28,28,596,0.0006094853083292644,,1.0,1.0
9,fraudar,B,28,1.0,True,9,28,28,596,0.0006133198738098144,,1.0,1.0
0,fraudar,B,29,1.0,True,0,29,29,596,0.000688787301381429,,1.0,1.0
1,fraudar,B,29,1.0,True,1,29,29,596,0.0006418784459431966,,1.0,1.0
2,fraudar,B,29,1.0,True,2,29,29,596,0.000632782777150472,,1.0,1.0
3,fraudar,B,29,1.0,True,3,29,30,596,0.0006212830543518066,,0.976457998929909,1.0
4,fraudar,B,29,1.0,True,4,29,29,596,0.000664369265238444,,1.0,1.0
5,fraudar,B,29,1.0,True,5,29,29,596,0.0006497859954833985,,1.0,1.0
6,fraudar,B,29,1.0,True,6,29,29,596,0.0006782690684000651,,1.0,1.0
7,fraudar,B,29,1.0,True,7,29,29,596,0.0007726033528645833,,1.0,1.0
8,fraudar,B,29,1.0,True,8,29,29,596,0.0006336688995361329,,1.0,1.0
9,fraudar,B,29,1.0,True,9,29,29,596,0.000626683235168457,,1.0,1.0
0,fraudar,B,30,1.0,True,0,30,30,596,0.0007307688395182292,,1.0,1.0
1,fraudar,B,30,1.0,True,1,30,30,596,0.001045378049214681,,1.0,1.0
2,fraudar,B,30,1.0,True,2,30,30,596,0.0006446679433186849,,1.0,1.0
3,fraudar,B,30,1.0,True,3,30,30,596,0.0006679495175679525,,1.0,1.0
4,fraudar,B,30,1.0,True,4,30,30,596,0.0006541689236958822,,1.0,1.0
5,fraudar,B,30,1.0,True,5,30,30,596,0.0006322662035624186,,1.0,1.0
6,fraudar,B,30,1.0,True,6,30,30,596,0.0006397207578023275,,1.0,1.0
7,fraudar,B,30,1.0,True,7,30,30,596,0.000632333755493164,,1.0,1.0
8,fraudar,B,30,1.0,True,8,30,30,596,0.0006423513094584147,,1.0,1.0
